Removed Pin From Net: NetName=NetJ64_1 Pin=J64-1
Removed Pin From Net: NetName=NetJ64_2 Pin=J64-2
Removed Pin From Net: NetName=NetU$1_LCD_D20/PD20 Pin=U$1-LCD_D21/PD21
Removed Pin From Net: NetName=NetU$1_LCD_D5/PD5 Pin=U$3-21
Removed Pin From Net: NetName=NetU$1_LCD_D6/PD6 Pin=U$3-22
Removed Pin From Net: NetName=NetU$1_LCD_D7/PD7 Pin=U$3-23
Removed Pin From Net: NetName=GND Pin=U$3-25
Removed Pin From Net: NetName=GND Pin=U$3-40
Removed Pin From Net: NetName=NetU$1_LCD_D20/PD20 Pin=U$3-46
Removed Pin From Net: NetName=GND Pin=U$4-AGND
Removed Pin From Net: NetName=GND Pin=U$4-CHSENSE
Removed Pin From Net: NetName=GND Pin=U$4-N_OE
Removed Pin From Net: NetName=GND Pin=U$4-PGND2
Removed Pin From Net: NetName=GND Pin=U$4-PGND3
Removed Pin From Net: NetName=GND Pin=U$4-PWREN
Removed Pin From Net: NetName=GND Pin=U$4-PWROK
Removed Pin From Net: NetName=GND Pin=U$4-SCK
Removed Pin From Net: NetName=GND Pin=U$4-SDA
Removed Pin From Net: NetName=GND Pin=U$4-VIN2
Removed Pin From Net: NetName=VCC Pin=U$6-+
Removed Pin From Net: NetName=NetC?_1 Pin=U$7-52
Removed Pin From Net: NetName=GND Pin=X4-4
Removed Pin From Net: NetName=GND Pin=X5-4
Added Component: Designator=C?(RAD-0.3)
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=NetC2_1 Pin=C?-1
Added Pin To Net: NetName=NetC2_1 Pin=C?-1
Added Pin To Net: NetName=NetC2_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=N$232 Pin=C?-2
Added Pin To Net: NetName=NetC2_1 Pin=C?-2
Added Pin To Net: NetName=NetC2_1 Pin=C?-2
Added Pin To Net: NetName=NetC2_1 Pin=C?-2
Added Pin To Net: NetName=NetC2_1 Pin=C?-2
Added Pin To Net: NetName=NetC?_1 Pin=C?-2
Added Pin To Net: NetName=NetC?_1 Pin=C?-2
Added Pin To Net: NetName=NetC?_1 Pin=C?-2
Added Pin To Net: NetName=NetC?_1 Pin=C?-2
Added Pin To Net: NetName=NetC?_1 Pin=C?-2
Added Pin To Net: NetName=NetC?_1 Pin=C?-2
Added Pin To Net: NetName=NetC?_1 Pin=C?-2
Added Pin To Net: NetName=NetC?_1 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetD?_A Pin=D?-A
Added Pin To Net: NetName=NetD?_A Pin=D?-A
Added Pin To Net: NetName=NetC?_1 Pin=D?-C
Added Pin To Net: NetName=NetC?_1 Pin=D?-C
Added Pin To Net: NetName=NetC?_1 Pin=D?-C
Added Pin To Net: NetName=NetC?_2 Pin=J19-1
Added Pin To Net: NetName=NetC?_2 Pin=J19-2
Added Pin To Net: NetName=NetC?_2 Pin=J25-1
Added Pin To Net: NetName=NetC?_1 Pin=J25-2
Added Pin To Net: NetName=NetC?_2 Pin=MK?-2
Added Pin To Net: NetName=NetC?_1 Pin=R?-1
Added Pin To Net: NetName=NetC?_1 Pin=R?-1
Added Pin To Net: NetName=NetC?_2 Pin=R?-1
Added Pin To Net: NetName=NetC?_2 Pin=R?-1
Added Pin To Net: NetName=NetC?_2 Pin=R?-1
Added Pin To Net: NetName=NetC?_1 Pin=R?-2
Added Pin To Net: NetName=NetC?_1 Pin=R?-2
Added Pin To Net: NetName=NetD?_A Pin=R?-2
Added Pin To Net: NetName=NetD?_A Pin=R?-2
Added Pin To Net: NetName=NetC?_1 Pin=U$1-HPOUTR
Added Pin To Net: NetName=NetJ64_2 Pin=U$1-LCD_D21/PD21
Added Pin To Net: NetName=NetC?_1 Pin=U$1-VMIC
Added Pin To Net: NetName=NetU$1_LCD_D7/PD7 Pin=U$3-21
Added Pin To Net: NetName=NetU$1_LCD_D5/PD5 Pin=U$3-22
Added Pin To Net: NetName=NetU$1_LCD_D6/PD6 Pin=U$3-23
Added Pin To Net: NetName=VCC Pin=U$3-31
Added Pin To Net: NetName=NetC?_1 Pin=U$3-40
Added Pin To Net: NetName=NetJ64_2 Pin=U$3-46
Added Pin To Net: NetName=NetC?_2 Pin=U$4-ACIN1
Added Pin To Net: NetName=NetC?_2 Pin=U$4-ACIN
Added Pin To Net: NetName=NetC?_1 Pin=U$4-AGND
Added Pin To Net: NetName=NetC?_2 Pin=U$4-APS
Added Pin To Net: NetName=NetC?_1 Pin=U$4-CHSENSE
Added Pin To Net: NetName=NetC?_2 Pin=U$4-GPIO0
Added Pin To Net: NetName=NetC?_2 Pin=U$4-IPSOUT1
Added Pin To Net: NetName=NetC?_2 Pin=U$4-LDO1
Added Pin To Net: NetName=NetC?_1 Pin=U$4-LDO4
Added Pin To Net: NetName=NetC?_1 Pin=U$4-LDO24IN
Added Pin To Net: NetName=NetC?_1 Pin=U$4-N_OE
Added Pin To Net: NetName=NetC?_1 Pin=U$4-PGND1
Added Pin To Net: NetName=NetC?_1 Pin=U$4-PGND2
Added Pin To Net: NetName=NetC?_1 Pin=U$4-PGND3
Added Pin To Net: NetName=NetC?_1 Pin=U$4-PWREN
Added Pin To Net: NetName=NetC?_1 Pin=U$4-PWROK
Added Pin To Net: NetName=NetC?_1 Pin=U$4-SCK
Added Pin To Net: NetName=NetC?_2 Pin=U$4-VBUS
Added Pin To Net: NetName=NetC?_1 Pin=U$4-VIN2
Added Pin To Net: NetName=NetC?_1 Pin=U$4-VIN3
Added Pin To Net: NetName=NetC?_2 Pin=U$4-VINT
Added Pin To Net: NetName=NetC?_1 Pin=U$4-VREF
Added Pin To Net: NetName=NetC?_2 Pin=U$7-18
Added Pin To Net: NetName=NetC?_2 Pin=U$7-19
Added Pin To Net: NetName=NetC?_2 Pin=U$7-21
Added Pin To Net: NetName=NetC?_2 Pin=U$7-25
Added Pin To Net: NetName=GND Pin=U$7-51
Added Pin To Net: NetName=NetC?_1 Pin=U$7-52
Added Pin To Net: NetName=NetC?_1 Pin=U$10-RIGHT1
Added Pin To Net: NetName=NetC?_1 Pin=U$10-RIGHT2
Added Pin To Net: NetName=NetC?_2 Pin=U$11-XTAL1/CLKIN
Added Pin To Net: NetName=NetC?_1 Pin=U$11-XTAL2
Added Pin To Net: NetName=VCC Pin=X1-2
Added Pin To Net: NetName=NetC?_1 Pin=X4-4
Added Pin To Net: NetName=NetC?_1 Pin=X5-4
Change Net Name : Old Net Name=GND New Net Name=NetC?_1
Change Net Name : Old Net Name=NetJ64_1 New Net Name=NetL9_1
Change Net Name : Old Net Name=NetJ64_2 New Net Name=NetU$1_LCD_D21/PD21
Change Net Name : Old Net Name=VCC New Net Name=NetU$3_31
Added Pin To Net: NetName=NetU$6_GND Pin=U$6-GND
Added Pin To Net: NetName=NetU$6_GND Pin=U$6-GND1
Added Pin To Net: NetName=NetU$6_GND Pin=X2-1
Added Pin To Net: NetName=NetU$6_GND Pin=X2-1
Added Pin To Net: NetName=NetU$6_GND Pin=X2-1
Added Pin To Net: NetName=NetU$6_GND Pin=X3-1
Added Pin To Net: NetName=NetU$6_GND Pin=X3-1
Added Pin To Net: NetName=NetU$6_GND Pin=X3-1
Added Pin To Net: NetName=NetU$6_GND Pin=X4-1
Added Pin To Net: NetName=NetU$6_GND Pin=X4-1
Added Pin To Net: NetName=NetU$6_GND Pin=X4-1
Added Pin To Net: NetName=NetU$6_GND Pin=X5-1
Added Pin To Net: NetName=NetU$6_GND Pin=X5-1
Added Pin To Net: NetName=NetU$6_GND Pin=X5-1
Added Pin To Net: NetName=NetU$6_GND Pin=X6-1
Added Pin To Net: NetName=NetU$6_GND Pin=X6-1
Added Pin To Net: NetName=NetU$6_GND Pin=X6-1
Added Pin To Net: NetName=NetU$6_GND Pin=X7-1
Added Pin To Net: NetName=NetU$6_GND Pin=X7-1
Added Pin To Net: NetName=NetU$6_GND Pin=X7-1
Added Pin To Net: NetName=NetU$6_GND Pin=X7-4
Added Net: Name=NetU$6_GND
